calendar_date,weekday,day_of_month,day_of_year,week_of_month,week,month,quarter,year,retail_week,isoyear,isoweek,first_day_of_week,first_day_of_month,first_day_of_quarter,first_day_of_year,last_day_of_week,last_day_of_month,last_day_of_quarter,last_day_of_year,day_of_quarter,days_in_week,days_in_month,days_in_quarter,days_in_year,is_sunday,is_tuesday,is_monday,is_wednesday,is_thursday,is_friday,is_saturday,is_weekday,is_weekend,is_first_day_of_week,is_first_day_of_month,is_first_day_of_quarter,is_first_day_of_year,is_last_day_of_week,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year,pct_week_elapsed,pct_month_elapsed,pct_quarter_elapsed,pct_year_elapsed,simple_scaling_factor__end_of_week,simple_scaling_factor__end_of_month,simple_scaling_factor__end_of_quarter,simple_scaling_factor__end_of_year,elapsed_month_sundays,elapsed_month_mondays,elapsed_month_tuesdays,elapsed_month_wednesdays,elapsed_month_thursdays,elapsed_month_fridays,elapsed_month_saturdays,sundays_in_month,mondays_in_month,tuesdays_in_month,wednesdays_in_month,thursdays_in_month,fridays_in_month,saturdays_in_month,nth_sunday_of_month,nth_monday_of_month,nth_tuesday_of_month,nth_wednesday_of_month,nth_thursday_of_month,nth_friday_of_month,nth_saturday_of_month,fixed_holidays,floating_holidays,holiday
2024-01-22,2,22,22,4.0,3,1,1,2024,3,2024,4,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,22,7,31,91,366,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.2857142857142857,0.70967741935483875,0.24175824175824176,0.060109289617486336,3.5,1.4090909090909092,4.1363636363636367,16.636363636363637,3,4,3,3,3,3,3,4,5,5,5,4,4,4,,4,,,,,,,,
2024-01-23,3,23,23,4.0,3,1,1,2024,3,2024,4,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,23,7,31,91,366,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.42857142857142855,0.74193548387096775,0.25274725274725274,0.062841530054644809,2.3333333333333335,1.3478260869565217,3.9565217391304346,15.913043478260869,3,4,4,3,3,3,3,4,5,5,5,4,4,4,,,4,,,,,,,
2024-01-24,4,24,24,4.0,3,1,1,2024,3,2024,4,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,24,7,31,91,366,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,0.5714285714285714,0.77419354838709675,0.26373626373626374,0.065573770491803282,1.75,1.2916666666666667,3.7916666666666665,15.25,3,4,4,4,3,3,3,4,5,5,5,4,4,4,,,,4,,,,,,
2024-01-25,5,25,25,4.0,3,1,1,2024,3,2024,4,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,25,7,31,91,366,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,0.7142857142857143,0.80645161290322576,0.27472527472527475,0.068306010928961755,1.4,1.24,3.64,14.64,3,4,4,4,4,3,3,4,5,5,5,4,4,4,,,,,4,,,,,
2024-01-26,6,26,26,4.0,3,1,1,2024,3,2024,4,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,26,7,31,91,366,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.8571428571428571,0.83870967741935487,0.2857142857142857,0.071038251366120214,1.1666666666666667,1.1923076923076923,3.5,14.076923076923077,3,4,4,4,4,4,3,4,5,5,5,4,4,4,,,,,,4,,,,
2024-01-27,7,27,27,4.0,3,1,1,2024,4,2024,4,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,27,7,31,91,366,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,1.0,0.87096774193548387,0.2967032967032967,0.073770491803278687,1.0,1.1481481481481481,3.3703703703703702,13.555555555555555,3,4,4,4,4,4,4,4,5,5,5,4,4,4,,,,,,,4,,,
2024-01-28,1,28,28,4.0,4,1,1,2024,4,2024,4,2024-01-28,2024-01-01,2024-01-01,2024-01-01,2024-02-03,2024-01-31,2024-03-31,2024-12-31,28,7,31,91,366,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,0.14285714285714285,0.90322580645161288,0.30769230769230771,0.07650273224043716,7.0,1.1071428571428572,3.25,13.071428571428571,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,,,,,,,,,
2024-01-29,2,29,29,5.0,4,1,1,2024,4,2024,5,2024-01-28,2024-01-01,2024-01-01,2024-01-01,2024-02-03,2024-01-31,2024-03-31,2024-12-31,29,7,31,91,366,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.2857142857142857,0.93548387096774188,0.31868131868131866,0.079234972677595633,3.5,1.0689655172413792,3.1379310344827585,12.620689655172415,4,5,4,4,4,4,4,4,5,5,5,4,4,4,,5,,,,,,,,
2024-01-30,3,30,30,5.0,4,1,1,2024,4,2024,5,2024-01-28,2024-01-01,2024-01-01,2024-01-01,2024-02-03,2024-01-31,2024-03-31,2024-12-31,30,7,31,91,366,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.42857142857142855,0.967741935483871,0.32967032967032966,0.081967213114754092,2.3333333333333335,1.0333333333333334,3.0333333333333332,12.2,4,5,5,4,4,4,4,4,5,5,5,4,4,4,,,5,,,,,,,
2024-01-31,4,31,31,5.0,4,1,1,2024,4,2024,5,2024-01-28,2024-01-01,2024-01-01,2024-01-01,2024-02-03,2024-01-31,2024-03-31,2024-12-31,31,7,31,91,366,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,0.5714285714285714,1.0,0.34065934065934067,0.084699453551912565,1.75,1.0,2.935483870967742,11.806451612903226,4,5,5,5,4,4,4,4,5,5,5,4,4,4,,,,5,,,,,,
